fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,57.05882352941177,0.309219:0.312871:0.339252:0.294267:0.288625:0.282308:0.309659:0.281798:0.342221:0.292841,0.0,0.0,24.166666666666668
2,54.411764705882355,0.403093:0.333046:0.284846:0.310241:0.371703:0.284401:0.373212:0.311181:0.301164:0.301384,0.0,0.0,90.83333333333333
3,57.35294117647059,0.314107:0.475482:0.280563:0.323319:0.321515:0.315408:0.308972:0.315334:0.323837:0.31413,0.0,0.0,85.83333333333333
4,56.76470588235294,0.338316:0.435655:0.333825:0.368333:0.38116:0.323653:0.322018:0.443375:0.36129:0.331549,0.0,0.0,88.33333333333333
5,58.529411764705884,0.360911:0.404926:0.366158:0.344432:0.350527:0.465406:0.382855:0.409739:0.381953:0.343142,0.0,0.0,80.0
6,59.411764705882355,0.573216:0.49452:0.41104:0.405469:0.574906:0.408645:0.475645:0.408154:0.506155:0.465144,0.0,0.0,19.166666666666668
7,59.11764705882353,0.434563:0.453884:0.491113:0.453064:0.442507:0.509516:0.544653:0.471459:0.467705:0.4685,0.0,0.0,57.5
8,60.88235294117647,0.523715:0.502673:0.608235:0.539639:0.558163:0.56366:0.500362:0.512999:0.511118:0.50499,0.0,0.0,43.333333333333336
9,60.588235294117645,0.516957:0.546733:0.608569:0.551198:0.576017:0.583278:0.577474:0.585635:0.558719:0.508556,0.0,0.0,13.333333333333334
10,61.1764705882353,0.63774:0.651901:0.606446:0.618829:0.648751:0.567938:0.702423:0.618152:0.718261:0.616154,0.0,0.0,22.5
11,62.05882352941177,0.678898:0.759231:0.702891:0.728081:0.703856:0.720677:0.683376:0.801383:0.699411:0.717463,0.0,0.0,15.833333333333334
12,62.35294117647059,0.843855:0.874053:0.799398:0.850242:0.828786:0.862328:0.893679:0.83871:0.795425:0.843925,0.0,0.0,16.666666666666668
13,61.470588235294116,1.013199:0.928001:0.874727:0.983313:0.9575:0.910835:0.982792:0.952926:0.965517:0.984754,0.0,0.0,12.5
14,60.588235294117645,1.075187:1.044731:1.170078:1.057646:1.126107:1.027369:1.023752:1.09149:1.047984:1.016924,0.0,0.0,10.833333333333334
15,61.470588235294116,1.244837:1.259584:1.20832:1.276545:1.225443:1.211971:1.17594:1.238506:1.235143:1.266493,0.0,0.0,11.666666666666666
16,62.94117647058823,1.328324:1.369067:1.338478:1.317155:1.348992:1.355665:1.336644:1.376676:1.357005:1.337333,0.0,0.0,10.0
17,65.29411764705883,1.48651:1.492879:1.51673:1.517213:1.461985:1.491456:1.514302:1.442342:1.431835:1.465573,0.0,0.0,17.5
18,65.88235294117646,1.446119:1.468989:1.566863:1.455756:1.520999:1.472094:1.577275:1.396293:1.414539:1.496232,0.0,0.0,8.333333333333334
19,63.8235294117647,1.474369:1.544738:1.505995:1.635743:1.529379:1.65401:1.575974:1.477933:1.564663:1.624991,0.0,0.0,10.833333333333334
20,67.6470588235294,1.688103:1.537766:1.591297:1.627923:1.656924:1.544695:1.583458:1.51159:1.5427:1.590321,0.0,0.0,11.666666666666666
21,66.17647058823529,1.554074:1.653207:1.589634:1.676765:1.573438:1.507679:1.563936:1.579417:1.529213:1.619231,0.0,0.0,11.666666666666666
22,63.529411764705884,1.504685:1.598796:1.586695:1.581847:1.484532:1.520718:1.607145:1.549947:1.574934:1.572646,0.0,0.0,9.166666666666666
23,64.70588235294117,1.577353:1.656533:1.73502:1.737658:1.68837:1.703167:1.587672:1.749241:1.710946:1.75181,0.0,0.0,6.666666666666667
24,66.47058823529412,1.704327:1.771024:1.608552:1.754116:1.697569:1.697888:1.65027:1.685512:1.702877:1.604926,0.0,0.0,6.666666666666667
25,65.58823529411765,1.691331:1.725771:1.7688:1.612473:1.668273:1.610367:1.674366:1.727818:1.680212:1.830913,0.0,0.0,5.0
26,67.05882352941177,1.737696:1.747823:1.732511:1.615194:1.826227:1.702963:1.751603:1.657863:1.903177:1.728153,0.0,0.0,5.0
27,65.88235294117646,1.763842:1.767195:1.752007:1.643698:1.839799:1.661972:1.727062:1.848032:1.74514:1.718751,0.0,0.0,17.5
28,65.88235294117646,1.741719:1.721251:1.693608:1.711692:1.667766:1.667571:1.706057:1.858898:1.712982:1.694567,0.0,0.0,10.833333333333334
29,67.3529411764706,1.79358:1.69593:1.673651:1.766148:1.734926:1.781508:1.729938:1.790992:1.79773:1.634338,0.0,0.0,6.666666666666667
30,67.94117647058823,1.893311:1.868385:1.827964:1.898685:1.775764:1.918463:1.805179:1.84599:1.928805:1.959777,0.0,0.0,4.166666666666667
31,69.70588235294117,1.793493:1.780014:1.842557:1.784592:1.781925:1.824744:1.786379:1.835866:1.949666:1.877696,0.0,0.0,5.0
32,69.41176470588235,1.785777:1.841697:1.88444:1.804157:1.849733:1.811351:1.837877:1.917371:1.766393:1.824475,0.0,0.0,5.0
33,69.11764705882354,1.97981:1.955809:2.10241:2.060645:1.95003:2.019946:1.962859:1.815952:1.780944:2.051486,0.0,0.0,3.3333333333333335
34,68.23529411764706,1.835047:1.8334:1.859429:1.85231:1.861191:1.913113:1.872874:1.948078:1.81684:1.869866,0.0,0.0,5.0
35,69.70588235294117,1.768448:1.956142:1.864187:1.883702:1.884926:1.880063:1.846877:1.9577:1.889983:1.908686,0.0,0.0,9.166666666666666
36,75.0,1.962702:1.842463:1.931036:1.760939:2.035784:1.97341:1.861393:2.014919:1.876913:1.971816,0.0,0.0,7.5
37,72.05882352941177,1.909678:1.961168:1.946451:1.973049:1.837857:1.854895:1.751637:1.849864:1.840926:1.920814,0.0,0.0,5.0
38,70.88235294117646,1.93662:2.001436:1.844331:1.918207:1.915753:2.031018:1.990474:2.01037:2.02304:1.968489,0.0,0.0,7.5
39,70.29411764705883,1.924506:1.920512:1.966445:2.007627:2.046089:1.950395:1.944482:1.888772:1.927764:1.980344,0.0,0.0,9.166666666666666
40,70.0,2.051916:1.988986:1.994342:1.986588:1.889182:1.994891:1.834309:1.96555:1.932627:1.969064,0.0,0.0,7.5
41,75.58823529411765,1.933175:2.003435:2.025529:1.943436:2.074111:1.943081:1.924932:2.128533:1.922593:1.969902,0.0,0.0,11.666666666666666
42,75.0,2.042348:1.860622:2.056619:1.893837:1.954447:1.951816:1.989256:2.068571:2.017336:1.951122,0.0,0.0,18.333333333333332
43,76.17647058823529,1.983617:1.940459:1.963433:1.972245:1.805103:1.998751:1.881524:1.930727:1.924029:1.906638,0.0,0.0,13.333333333333334
44,74.41176470588235,1.986429:1.979911:1.803916:2.067862:1.868785:2.11183:2.056863:2.043574:1.983642:1.94031,0.0,0.0,11.666666666666666
45,70.58823529411765,2.083076:1.941523:1.963607:1.945849:2.031625:2.09012:2.020092:1.996151:2.030661:2.06189,0.0,0.0,9.166666666666666
46,72.3529411764706,2.017837:2.105252:2.129422:2.105411:2.1712:2.027186:2.020937:2.075397:2.254168:2.100349,0.0,0.0,10.833333333333334
47,71.47058823529412,1.950953:1.890739:1.941017:1.962132:1.952876:2.086121:1.967279:1.9986:1.978945:1.920364,0.0,0.0,7.5
48,69.70588235294117,2.023712:2.100358:2.091651:1.92556:2.11692:1.974031:1.992402:2.000274:2.039706:2.150847,0.0,0.0,9.166666666666666
