fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,52.94117647058823,0.315865:0.410548:0.311819:0.307113:0.296813:0.295464:0.302236:0.28311:0.348142:0.364429,0.0,0.0,94.16666666666667
2,56.1764705882353,0.293343:0.283175:0.355588:0.295346:0.363824:0.292763:0.34881:0.324434:0.332548:0.349797,0.0,0.0,71.66666666666667
3,55.88235294117647,0.325098:0.322266:0.434134:0.418623:0.328717:0.367225:0.318015:0.3096:0.394681:0.367458,0.0,0.0,15.0
4,56.470588235294116,0.420743:0.435952:0.41708:0.412219:0.386024:0.365404:0.365387:0.359627:0.354653:0.358723,0.0,0.0,46.666666666666664
5,57.94117647058823,0.381491:0.419416:0.473453:0.436478:0.438007:0.390061:0.398544:0.39831:0.382206:0.401055,0.0,0.0,81.66666666666667
6,59.411764705882355,0.463941:0.429524:0.447597:0.49554:0.416872:0.535324:0.439261:0.422239:0.429529:0.389578,0.0,0.0,15.0
7,55.0,0.592525:0.430365:0.586352:0.51755:0.613193:0.470783:0.494063:0.544514:0.49836:0.457305,0.0,0.0,89.16666666666667
8,56.76470588235294,0.496732:0.590356:0.678799:0.504445:0.48697:0.64234:0.629064:0.504277:0.618062:0.593042,0.0,0.0,8.333333333333334
9,60.0,0.461566:0.516371:0.525269:0.548774:0.537465:0.476103:0.480098:0.487723:0.491555:0.483693,0.0,0.0,34.166666666666664
10,58.529411764705884,0.597565:0.582813:0.575451:0.567872:0.594518:0.601717:0.53675:0.548212:0.562953:0.537703,0.0,0.0,20.0
11,60.588235294117645,0.598732:0.699413:0.628153:0.658027:0.625206:0.684437:0.750861:0.694646:0.673073:0.637116,0.0,0.0,15.833333333333334
12,55.588235294117645,0.766461:0.65828:0.628879:0.68695:0.751732:0.685891:0.750137:0.631573:0.672358:0.636346,0.0,0.0,45.0
13,57.64705882352941,0.722339:0.754557:0.739878:0.688962:0.755093:0.798138:0.695241:0.80969:0.736704:0.813488,0.0,0.0,25.833333333333332
14,57.35294117647059,0.809902:0.823429:0.8736:0.905818:0.841605:0.920126:0.816945:0.841151:0.890999:0.879363,0.0,0.0,3.3333333333333335
15,52.05882352941177,1.026634:1.00034:1.032402:1.057319:1.096189:0.947692:0.966548:1.052759:1.00998:0.967375,0.0,0.0,17.5
16,58.8235294117647,1.09813:1.158363:1.168498:1.145948:1.217614:1.112385:1.038993:1.092606:1.168002:1.113759,0.0,0.0,14.166666666666666
17,59.11764705882353,1.101717:1.091408:1.190746:1.121548:1.174478:1.139373:1.111677:1.123011:1.104117:1.119778,0.0,0.0,14.166666666666666
18,60.294117647058826,1.312562:1.349353:1.263682:1.259095:1.277118:1.312631:1.352187:1.322691:1.301789:1.284581,0.0,0.0,10.833333333333334
