fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,58.23529411764706,0.315865:0.410548:0.337092:0.31391:0.284129:0.311815:0.275845:0.286856:0.259885:0.303241,0,0,50.833333333333336
2,60.0,0.322362:0.338493:0.3488:0.285315:0.326816:0.375752:0.283441:0.289028:0.3037:0.308937,0,0,24.166666666666668
3,58.529411764705884,0.351169:0.298087:0.428521:0.406092:0.30775:0.320623:0.335973:0.328307:0.331228:0.390061,0,0,55.833333333333336
4,55.294117647058826,0.336436:0.411349:0.450419:0.34135:0.403258:0.362564:0.356009:0.437473:0.388991:0.340773,0,0,89.16666666666667
5,57.94117647058823,0.401063:0.434571:0.350685:0.454946:0.361362:0.419714:0.434098:0.357088:0.364544:0.349307,0,0,35.833333333333336
6,60.294117647058826,0.382357:0.402771:0.394483:0.461432:0.438114:0.419597:0.412365:0.386555:0.432545:0.432639,0,0,18.333333333333332
7,57.94117647058823,0.472717:0.423352:0.527733:0.451185:0.591632:0.490233:0.433346:0.442957:0.44246:0.417301,0,0,61.666666666666664
8,60.88235294117647,0.506061:0.545158:0.48737:0.488766:0.484087:0.593466:0.546728:0.483438:0.545449:0.497414,0,0,22.5
9,57.64705882352941,0.588894:0.577232:0.609704:0.574128:0.5154:0.554052:0.539132:0.628361:0.56015:0.503142,0,0,42.5
10,58.8235294117647,0.682673:0.640902:0.614229:0.637641:0.635243:0.658362:0.635136:0.640765:0.585942:0.587869,0,0,38.333333333333336
11,60.588235294117645,0.660416:0.779838:0.692265:0.661013:0.701488:0.690585:0.732121:0.722191:0.70518:0.696938,0,0,15.833333333333334
12,60.588235294117645,0.8595:0.774756:0.811128:0.785595:0.786191:0.910616:0.708507:0.778747:0.808224:0.738029,0,0,18.333333333333332
13,60.0,0.893192:0.895751:0.916695:0.909:0.938194:0.964718:0.976986:0.897005:0.951731:0.865119,0,0,15.833333333333334
14,58.23529411764706,1.099223:0.996145:1.015194:1.025317:1.031117:1.081731:1.048771:1.028805:1.004978:1.035462,0,0,10.0
15,60.294117647058826,1.15363:1.196736:1.20868:1.21115:1.135158:1.175415:1.162625:1.169615:1.169073:1.161937,0,0,10.833333333333334
16,62.05882352941177,1.282583:1.252926:1.253563:1.248776:1.365979:1.24743:1.27643:1.285845:1.316794:1.232522,0,0,13.333333333333334
17,63.8235294117647,1.406947:1.391781:1.371934:1.409483:1.42929:1.363858:1.405265:1.4149:1.377403:1.391766,0,0,9.166666666666666
