fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,60.588235294117645,0.372086:0.3218:0.315472:0.30515:0.288625:0.330411:0.326752:0.338009:0.342221:0.279142,0.0,0.0,80.83333333333333
2,53.8235294117647,0.34954:0.307987:0.381579:0.486071:0.320244:0.352789:0.313788:0.291343:0.392565:0.322102,0.0,0.0,1.6666666666666667
3,58.529411764705884,0.366801:0.360912:0.372115:0.375194:0.351962:0.351222:0.377842:0.326467:0.332823:0.429801,0.0,0.0,24.166666666666668
4,54.411764705882355,0.555512:0.393082:0.355305:0.372162:0.372366:0.43533:0.420019:0.386073:0.461245:0.336008,0.0,0.0,90.83333333333333
5,54.411764705882355,0.659066:0.397162:0.425069:0.369239:0.406462:0.434373:0.433624:0.461274:0.428377:0.429381,0.0,0.0,3.3333333333333335
6,58.8235294117647,0.481228:0.427686:0.465661:0.438658:0.48242:0.658941:0.50192:0.48324:0.435434:0.504266,0.0,0.0,30.833333333333332
7,60.0,0.497686:0.47314:0.514392:0.537621:0.524564:0.517672:0.540102:0.502575:0.529492:0.543845,0.0,0.0,22.5
8,59.705882352941174,0.510058:0.586786:0.61881:0.582424:0.529311:0.599385:0.5391:0.565803:0.576087:0.620168,0.0,0.0,14.166666666666666
9,60.88235294117647,0.602341:0.587171:0.631646:0.623769:0.688739:0.599673:0.608142:0.610314:0.659224:0.61262,0.0,0.0,16.666666666666668
10,62.94117647058823,0.674228:0.694932:0.683736:0.671279:0.74589:0.702189:0.671212:0.676296:0.720101:0.679639,0.0,0.0,20.833333333333332
11,65.0,0.778383:0.758385:0.79522:0.7488:0.822416:0.786412:0.816866:0.761667:0.767269:0.798033,0.0,0.0,15.833333333333334
12,60.0,0.869617:0.852664:0.863275:0.850206:0.867019:0.966196:0.839786:0.923455:0.85899:0.90018,0.0,0.0,14.166666666666666
13,62.64705882352941,0.968435:0.997697:1.038613:1.00311:1.037085:0.99103:0.986427:1.093592:1.004917:0.940924,0.0,0.0,13.333333333333334
14,62.35294117647059,1.135795:1.192755:1.196682:1.200683:1.1353:1.16179:1.066989:1.134894:1.125162:1.132687,0.0,0.0,9.166666666666666
15,61.1764705882353,1.230613:1.267292:1.227687:1.210949:1.297794:1.23255:1.128412:1.200194:1.257105:1.254535,0.0,0.0,10.0
16,64.11764705882354,1.365364:1.263986:1.294702:1.349606:1.300361:1.32194:1.335832:1.276563:1.458587:1.43537,0.0,0.0,8.333333333333334
17,63.23529411764706,1.338008:1.418432:1.362988:1.409428:1.387718:1.356376:1.338868:1.4137:1.375883:1.397255,0.0,0.0,8.333333333333334
18,65.0,1.43989:1.464567:1.401702:1.407493:1.412562:1.320598:1.444963:1.413011:1.427822:1.435042,0.0,0.0,11.666666666666666
19,65.29411764705883,1.478233:1.514826:1.59772:1.4593:1.460685:1.512191:1.459498:1.47119:1.533831:1.537343,0.0,0.0,7.5
20,63.529411764705884,1.598831:1.47446:1.556774:1.567583:1.558265:1.537511:1.599079:1.574842:1.575416:1.536164,0.0,0.0,2.5
21,66.17647058823529,1.552853:1.546786:1.641837:1.623099:1.524592:1.673318:1.621232:1.531471:1.582499:1.652862,0.0,0.0,6.666666666666667
22,65.58823529411765,1.706574:1.648112:1.644792:1.69107:1.64072:1.624162:1.662904:1.726141:1.746728:1.681469,0.0,0.0,9.166666666666666
23,62.05882352941177,1.649883:1.592043:1.581487:1.591661:1.557041:1.665023:1.539552:1.610761:1.596278:1.551867,0.0,0.0,7.5
24,64.11764705882354,1.636276:1.622807:1.652895:1.683145:1.637498:1.65849:1.642109:1.667261:1.726411:1.674052,0.0,0.0,8.333333333333334
25,64.70588235294117,1.689816:1.622563:1.696223:1.680831:1.659476:1.727648:1.645141:1.6633:1.715141:1.7074,0.0,0.0,8.333333333333334
26,65.29411764705883,1.741453:1.776091:1.67961:1.771444:1.666138:1.722432:1.742086:1.67062:1.760131:1.81043,0.0,0.0,12.5
27,66.17647058823529,1.768873:1.736023:1.69658:1.65078:1.7032:1.698051:1.777243:1.826203:1.732905:1.740528,0.0,0.0,13.333333333333334
28,65.0,1.680739:1.718298:1.713289:1.693405:1.618912:1.79525:1.703879:1.743398:1.677064:1.77485,0.0,0.0,11.666666666666666
29,66.47058823529412,1.803375:1.937963:1.928818:2.029213:1.893692:1.824252:1.860038:1.853413:1.830541:1.873076,0.0,0.0,8.333333333333334
30,68.52941176470588,1.756969:1.887554:1.767963:1.811457:1.835079:1.706654:1.738073:1.77784:1.80469:1.764189,0.0,0.0,15.833333333333334
31,65.0,1.843804:1.906832:1.913351:1.846679:1.914893:1.875167:1.867654:1.890323:1.917556:1.953156,0.0,0.0,10.0
32,70.0,1.938447:1.929638:1.940111:1.929372:1.901154:1.905398:1.924515:2.05213:2.008661:1.891209,0.0,0.0,6.666666666666667
33,66.76470588235294,1.898872:2.019576:1.955225:1.836515:1.845871:1.850215:1.938281:2.071576:1.945281:1.939341,0.0,0.0,17.5
34,70.0,1.935286:1.858719:1.87998:1.752417:1.869398:1.801111:1.817326:1.976721:1.822121:1.780601,0.0,0.0,13.333333333333334
35,69.41176470588235,1.891466:2.035132:2.077119:1.964526:2.015597:1.938179:2.061396:2.233817:1.937853:1.986691,0.0,0.0,5.833333333333333
36,69.41176470588235,1.841887:1.999194:1.977976:1.828792:1.873236:1.85834:1.849418:1.812063:1.87945:1.884727,0.0,0.0,10.0
