fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,50.588235294117645,0.315865:0.410548:0.337092:0.31391:0.284129:0.311815:0.275845:0.286856:0.259885:0.303241,0,0,98.33333333333333
2,56.1764705882353,0.312612:0.354225:0.373177:0.295285:0.323125:0.368282:0.276638:0.293222:0.291375:0.328303,0,0,1.6666666666666667
3,57.05882352941177,0.362363:0.294804:0.453988:0.428227:0.304174:0.307429:0.326557:0.337261:0.322236:0.367486,0,0,5.0
4,55.0,0.359252:0.401132:0.492075:0.367923:0.445816:0.346424:0.397597:0.47168:0.423093:0.322441,0,0,90.83333333333333
5,61.470588235294116,0.417307:0.441797:0.35862:0.464616:0.369152:0.432112:0.438855:0.361388:0.372611:0.347163,0,0,50.0
6,51.470588235294116,0.37763:0.391988:0.383673:0.448138:0.42726:0.41316:0.395106:0.383746:0.41567:0.430471,0,0,1.6666666666666667
7,56.1764705882353,0.485394:0.386275:0.557621:0.441233:0.670211:0.557343:0.465213:0.442795:0.416401:0.403577,0,0,87.5
8,58.529411764705884,0.484598:0.526279:0.471034:0.445836:0.450754:0.560716:0.548208:0.436593:0.531796:0.492106,0,0,50.0
9,57.94117647058823,0.578319:0.512651:0.542275:0.527532:0.469829:0.50744:0.498825:0.571024:0.502035:0.469484,0,0,55.833333333333336
10,56.76470588235294,0.606387:0.571257:0.547623:0.561294:0.571428:0.601962:0.574572:0.568719:0.522838:0.517742,0,0,60.833333333333336
11,54.411764705882355,0.555911:0.71276:0.574322:0.557617:0.564427:0.587429:0.595695:0.608753:0.592243:0.582286,0,0,58.333333333333336
12,60.294117647058826,0.754105:0.664446:0.6914:0.689546:0.717606:0.781422:0.620036:0.705723:0.708894:0.617847,0,0,25.0
13,58.529411764705884,0.659924:0.685135:0.742893:0.67289:0.68244:0.750115:0.718734:0.6722:0.742455:0.65396,0,0,19.166666666666668
14,57.05882352941177,0.764589:0.761605:0.721464:0.757884:0.750833:0.76055:0.762106:0.743684:0.701807:0.753616,0,0,25.833333333333332
15,52.64705882352941,0.91166:0.961456:0.957794:0.969954:0.891077:0.92658:0.884782:0.902892:0.960201:0.898764,0,0,39.166666666666664
16,58.8235294117647,0.985758:0.985259:0.931492:0.976539:1.068469:0.966734:0.948061:0.939318:0.98363:0.953321,0,0,10.0
17,54.705882352941174,1.002485:1.023262:0.969882:1.003572:1.020065:0.968778:1.046811:0.998694:1.021558:0.990147,0,0,25.833333333333332
18,56.470588235294116,0.972342:0.928831:1.001461:0.980402:1.014498:0.9762:1.007785:0.96793:0.922293:0.903273,0,0,8.333333333333334
