fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,53.23529411764706,0.318258:0.305986:0.307247:0.290591:0.276971:0.293944:0.289756:0.270315:0.405649:0.264058,0.0,0.0,94.16666666666667
2,54.705882352941174,0.372084:0.348498:0.299157:0.300088:0.417328:0.267006:0.356072:0.321631:0.285772:0.297537,0.0,0.0,93.33333333333333
3,56.1764705882353,0.306626:0.463518:0.309896:0.3082:0.335872:0.326558:0.314268:0.318697:0.309292:0.320009,0.0,0.0,89.16666666666667
4,55.294117647058826,0.38472:0.389609:0.382333:0.354782:0.378776:0.330259:0.326562:0.417539:0.377369:0.352768,0.0,0.0,91.66666666666667
5,57.94117647058823,0.346396:0.391359:0.364772:0.356566:0.358182:0.455294:0.382007:0.423485:0.367025:0.355606,0.0,0.0,89.16666666666667
6,57.94117647058823,0.56602:0.500876:0.452014:0.392532:0.539471:0.400201:0.457204:0.403317:0.512387:0.476904,0.0,0.0,49.166666666666664
7,60.0,0.436217:0.447401:0.486694:0.45499:0.457357:0.539493:0.484396:0.475546:0.473857:0.478591,0.0,0.0,89.16666666666667
8,59.411764705882355,0.531228:0.498516:0.598256:0.596784:0.559648:0.566021:0.520612:0.506917:0.493217:0.50466,0.0,0.0,59.166666666666664
9,61.470588235294116,0.523349:0.572243:0.620996:0.565112:0.588307:0.567432:0.575977:0.567849:0.550736:0.517819,0.0,0.0,53.333333333333336
10,59.411764705882355,0.618989:0.635036:0.607131:0.63391:0.643099:0.572125:0.733582:0.616745:0.705826:0.606938,0.0,0.0,59.166666666666664
11,61.1764705882353,0.71418:0.745484:0.745015:0.70862:0.698821:0.726376:0.671376:0.836601:0.693552:0.717606,0.0,0.0,36.666666666666664
12,60.88235294117647,0.87891:0.87499:0.820772:0.826351:0.814848:0.905953:0.920399:0.836852:0.821105:0.868827,0.0,0.0,40.0
13,60.294117647058826,1.038402:0.98179:0.906705:1.019765:1.014618:0.948379:0.9843:0.947212:0.986566:0.980006,0.0,0.0,25.833333333333332
14,60.294117647058826,1.084809:1.052717:1.152648:1.066395:1.129566:1.072379:1.034117:1.118706:1.066321:1.013619,0.0,0.0,18.333333333333332
15,62.05882352941177,1.303032:1.288474:1.201339:1.265693:1.199801:1.241753:1.22432:1.222487:1.286072:1.245595,0.0,0.0,23.333333333333332
16,61.76470588235294,1.355853:1.351844:1.340201:1.311535:1.31605:1.36703:1.348201:1.359272:1.37433:1.361208,0.0,0.0,24.166666666666668
17,65.0,1.521425:1.426462:1.500616:1.493772:1.447234:1.535012:1.55569:1.452088:1.460334:1.499646,0.0,0.0,32.5
18,64.41176470588235,1.482789:1.502161:1.601235:1.555633:1.543074:1.534635:1.690857:1.479041:1.477392:1.538535,0.0,0.0,16.666666666666668
19,62.35294117647059,1.425756:1.563622:1.449252:1.59451:1.511108:1.531148:1.509489:1.452172:1.53411:1.605683,0.0,0.0,25.0
20,66.76470588235294,1.653166:1.547796:1.590044:1.524238:1.681547:1.549058:1.506638:1.500786:1.585946:1.630468,0.0,0.0,34.166666666666664
21,64.11764705882354,1.664097:1.717611:1.685822:1.695913:1.685092:1.5815:1.632696:1.649792:1.575548:1.725572,0.0,0.0,22.5
22,65.29411764705883,1.568431:1.629671:1.571876:1.585325:1.512478:1.597718:1.605571:1.632811:1.586661:1.559669,0.0,0.0,22.5
23,67.94117647058823,1.682776:1.753971:1.728029:1.800175:1.73175:1.689652:1.697748:1.763373:1.706284:1.784208,0.0,0.0,15.833333333333334
24,68.82352941176471,1.740058:1.803132:1.662415:1.790577:1.779114:1.663285:1.71309:1.764574:1.772646:1.737124,0.0,0.0,25.833333333333332
25,65.0,1.652327:1.72686:1.727274:1.653831:1.685819:1.648953:1.68673:1.761362:1.736142:1.862836,0.0,0.0,11.666666666666666
26,66.76470588235294,1.751557:1.697905:1.702886:1.588952:1.87532:1.691891:1.738163:1.637993:1.852453:1.756773,0.0,0.0,22.5
27,64.41176470588235,1.705613:1.734039:1.727638:1.625344:1.695951:1.650942:1.717957:1.790223:1.609244:1.615717,0.0,0.0,30.0
28,66.76470588235294,1.728371:1.725035:1.761638:1.72452:1.670077:1.687285:1.698702:1.765053:1.724426:1.704543,0.0,0.0,18.333333333333332
29,67.94117647058823,1.805693:1.736091:1.749267:1.888821:1.821168:1.770614:1.759534:1.831558:1.844745:1.7516,0.0,0.0,13.333333333333334
30,66.76470588235294,1.826087:1.778172:1.763284:1.825436:1.856609:1.878229:1.767252:1.787119:1.793364:1.821736,0.0,0.0,10.833333333333334
