fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,55.588235294117645,0.0:0.0:0.0:0.32881:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
2,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
3,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
4,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
5,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
6,55.588235294117645,0.099004:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
7,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
8,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.095769:0.0:0.0:0.0,0.0,0.0,11.666666666666666
9,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.096338:0.0:0.0,0.0,0.0,11.666666666666666
10,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
11,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
12,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
13,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
14,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
15,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.096437:0.0:0.0:0.0:0.094607,0.0,0.0,11.666666666666666
16,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.100283:0.0:0.0,0.0,0.0,11.666666666666666
17,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
18,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.295316:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
19,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
20,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
21,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
22,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.294553:0.0,0.0,0.0,11.666666666666666
23,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
24,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
25,55.588235294117645,0.0:0.0:0.0:0.0:0.094831:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
26,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
27,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
28,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.09532,0.0,0.0,11.666666666666666
29,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
30,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
31,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.286738,0.0,0.0,11.666666666666666
32,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
33,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.287294:0.0,0.0,0.0,11.666666666666666
34,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
35,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
36,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
37,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.284907:0.0:0.0,0.0,0.0,11.666666666666666
38,55.588235294117645,0.0:0.0:0.0:0.0:0.091698:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
39,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.307166,0.0,0.0,11.666666666666666
40,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
41,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
42,55.588235294117645,0.0:0.0:0.0:0.091821:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
43,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
44,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
45,55.588235294117645,0.0:0.0:0.0:0.09606:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
46,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
47,55.588235294117645,0.0:0.0:0.091643:0.0:0.30375:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
48,55.588235294117645,0.0:0.094:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
49,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
50,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
51,55.588235294117645,0.0:0.0:0.0:0.091108:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
52,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
53,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
54,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.087187:0.0,0.0,0.0,11.666666666666666
55,55.588235294117645,0.0:0.087832:0.0:0.0:0.0:0.0:0.0:0.0:0.275198:0.0,0.0,0.0,11.666666666666666
56,55.588235294117645,0.08922:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
57,55.588235294117645,0.0:0.0:0.0:0.094056:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
58,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.089961:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
59,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
60,55.588235294117645,0.092356:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
61,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
62,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
63,55.588235294117645,0.0:0.0:0.0:0.092321:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
64,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
65,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
66,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
67,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
68,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.287863,0.0,0.0,11.666666666666666
69,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
70,55.588235294117645,0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,0.0,0.0,11.666666666666666
