fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,59.705882352941174,0.309219:0.312871:0.339252:0.294267:0.288625:0.282308:0.309659:0.281798:0.342221:0.292841,0.0,0.0,80.83333333333333
2,53.23529411764706,0.39299:0.344555:0.297794:0.303601:0.35756:0.279206:0.356791:0.326934:0.295509:0.30844,0.0,0.0,94.16666666666667
3,60.588235294117645,0.33002:0.45214:0.280485:0.32145:0.335511:0.328663:0.311076:0.326596:0.341257:0.325412,0.0,0.0,22.5
4,54.705882352941174,0.371856:0.486818:0.358762:0.40419:0.411958:0.324054:0.332047:0.401083:0.35217:0.326351,0.0,0.0,90.0
5,58.23529411764706,0.353945:0.393025:0.376814:0.343838:0.360805:0.487085:0.404099:0.434571:0.374146:0.353224,0.0,0.0,85.83333333333333
6,57.64705882352941,0.56382:0.506012:0.413458:0.406642:0.585612:0.413963:0.483712:0.410913:0.516534:0.468647,0.0,0.0,3.3333333333333335
7,60.294117647058826,0.442195:0.478761:0.498499:0.481645:0.456118:0.517964:0.576347:0.477395:0.493165:0.494055,0.0,0.0,55.0
8,60.88235294117647,0.526045:0.505186:0.612083:0.539825:0.555334:0.56539:0.503176:0.511746:0.512983:0.507221,0.0,0.0,43.333333333333336
9,61.76470588235294,0.512907:0.547937:0.604663:0.550978:0.578413:0.58165:0.57678:0.589343:0.555315:0.504647,0.0,0.0,12.5
10,61.470588235294116,0.634195:0.649743:0.603947:0.618145:0.652151:0.566133:0.699509:0.615252:0.717993:0.616414,0.0,0.0,10.833333333333334
11,61.470588235294116,0.655587:0.746822:0.678104:0.734395:0.6862:0.697643:0.682894:0.773377:0.68196:0.686602,0.0,0.0,20.0
12,60.88235294117647,0.821074:0.842732:0.765569:0.81711:0.80604:0.838633:0.862973:0.810994:0.774899:0.812541,0.0,0.0,16.666666666666668
13,59.705882352941174,0.991252:0.902075:0.846919:0.951822:0.932269:0.881135:0.953916:0.924961:0.940671:0.953857,0.0,0.0,11.666666666666666
14,62.64705882352941,1.034023:1.023481:1.128849:1.039404:1.114606:0.997786:1.001131:1.062637:1.010046:0.983235,0.0,0.0,10.0
15,63.23529411764706,1.187171:1.213333:1.149689:1.222508:1.156174:1.153884:1.119175:1.171362:1.170692:1.198465,0.0,0.0,14.166666666666666
16,66.47058823529412,1.313741:1.358638:1.321715:1.303324:1.334644:1.344992:1.319341:1.353515:1.32248:1.313914,0.0,0.0,12.5
17,63.529411764705884,1.455232:1.458047:1.471129:1.470739:1.425362:1.460402:1.476894:1.420409:1.401842:1.439339,0.0,0.0,15.0
18,65.0,1.464291:1.466506:1.565195:1.468364:1.5196:1.458573:1.585177:1.384477:1.416303:1.497788,0.0,0.0,8.333333333333334
19,62.35294117647059,1.469122:1.510287:1.457292:1.593702:1.504568:1.607264:1.533046:1.46668:1.53864:1.581887,0.0,0.0,8.333333333333334
20,67.05882352941177,1.653996:1.542111:1.585531:1.598523:1.63446:1.527742:1.554952:1.492897:1.53249:1.559657,0.0,0.0,15.0
21,65.0,1.512651:1.628909:1.566518:1.64329:1.566228:1.504997:1.539719:1.573727:1.513142:1.599052,0.0,0.0,14.166666666666666
22,65.0,1.403495:1.508312:1.518823:1.484503:1.399029:1.412739:1.494127:1.473685:1.475675:1.477126,0.0,0.0,10.0
23,63.529411764705884,1.503638:1.563969:1.646277:1.650472:1.594478:1.621102:1.500214:1.640838:1.623798:1.66804,0.0,0.0,8.333333333333334
24,63.8235294117647,1.604501:1.681041:1.535231:1.67495:1.632857:1.617912:1.563318:1.584497:1.62297:1.538437,0.0,0.0,8.333333333333334
25,64.11764705882354,1.626671:1.649545:1.707998:1.553035:1.597756:1.538435:1.620949:1.656501:1.60552:1.751996,0.0,0.0,3.3333333333333335
26,67.94117647058823,1.648379:1.655:1.689879:1.543565:1.76379:1.611123:1.675391:1.591546:1.839991:1.654501,0.0,0.0,5.833333333333333
27,65.0,1.703463:1.710788:1.715269:1.605356:1.765592:1.609928:1.661009:1.793124:1.680558:1.67532,0.0,0.0,19.166666666666668
28,64.11764705882354,1.624067:1.622189:1.592369:1.601021:1.554291:1.554145:1.605486:1.751315:1.610641:1.616019,0.0,0.0,8.333333333333334
29,65.29411764705883,1.693669:1.602248:1.555331:1.704417:1.643585:1.696422:1.651361:1.717054:1.712662:1.559608,0.0,0.0,8.333333333333334
30,66.47058823529412,1.779082:1.757251:1.758725:1.786452:1.711572:1.822262:1.728682:1.742338:1.860471:1.885642,0.0,0.0,3.3333333333333335
31,67.94117647058823,1.744035:1.730454:1.803707:1.722552:1.748794:1.818518:1.728928:1.782231:1.888925:1.817523,0.0,0.0,5.833333333333333
32,68.23529411764706,1.698054:1.750583:1.797421:1.691334:1.773963:1.718852:1.721358:1.806126:1.710128:1.759243,0.0,0.0,4.166666666666667
33,68.52941176470588,1.9825:1.925957:2.043303:2.024429:1.934701:1.991805:1.94054:1.785337:1.762448:2.041011,0.0,0.0,1.6666666666666667
34,67.94117647058823,1.70783:1.699024:1.719033:1.738972:1.730962:1.75482:1.743592:1.797095:1.676571:1.688925,0.0,0.0,5.833333333333333
35,70.88235294117646,1.651481:1.817811:1.747735:1.783569:1.767562:1.77289:1.721681:1.85508:1.774598:1.795141,0.0,0.0,13.333333333333334
36,71.47058823529412,1.835484:1.753854:1.83531:1.646136:1.901824:1.862681:1.694074:1.923909:1.776362:1.844279,0.0,0.0,7.5
37,72.3529411764706,1.798388:1.897918:1.883584:1.88132:1.762248:1.789029:1.660478:1.761178:1.758342:1.839826,0.0,0.0,5.833333333333333
38,69.70588235294117,1.859078:1.921161:1.758644:1.879086:1.829179:1.961344:1.914695:1.955818:1.973319:1.893113,0.0,0.0,9.166666666666666
39,70.0,1.755336:1.789677:1.788887:1.804418:1.864262:1.793771:1.805735:1.739362:1.753055:1.812354,0.0,0.0,4.166666666666667
40,70.88235294117646,1.986767:1.919403:1.904855:1.867794:1.772856:1.898867:1.724579:1.867485:1.860517:1.854111,0.0,0.0,17.5
41,69.70588235294117,1.822687:1.859574:1.934166:1.833594:1.972922:1.839975:1.846568:1.99977:1.820787:1.903038,0.0,0.0,21.666666666666668
42,72.05882352941177,1.93289:1.764891:1.944287:1.776108:1.826676:1.853111:1.882344:1.97786:1.909526:1.869827,0.0,0.0,27.5
43,75.88235294117646,1.885747:1.791861:1.895785:1.842475:1.686224:1.876988:1.772458:1.848771:1.85295:1.794327,0.0,0.0,18.333333333333332
44,72.05882352941177,1.894094:1.891015:1.691345:1.968675:1.78008:1.988508:1.967212:1.909481:1.917341:1.845028,0.0,0.0,11.666666666666666
45,71.17647058823529,2.025703:1.8661:1.870337:1.904089:1.915133:2.062206:1.983698:1.914341:1.941949:1.961842,0.0,0.0,10.833333333333334
46,69.41176470588235,1.840641:1.985835:1.996662:1.967273:2.039991:1.88814:1.882526:1.979122:2.102784:1.956581,0.0,0.0,13.333333333333334
47,69.11764705882354,1.904504:1.771011:1.885275:1.872235:1.836733:1.999624:1.883993:1.911324:1.863937:1.861435,0.0,0.0,8.333333333333334
48,69.11764705882354,1.990628:2.017126:2.023592:1.801482:2.050277:1.870894:1.906674:1.951733:1.941639:2.05992,0.0,0.0,9.166666666666666
49,70.58823529411765,1.957292:2.059792:2.120249:2.025024:1.919863:2.162828:2.047144:2.134202:2.05727:2.141648,0.0,0.0,15.0
50,70.58823529411765,1.896679:1.868358:2.007001:1.930714:1.824342:2.047174:1.914644:1.8853:2.049123:1.902508,0.0,0.0,7.5
51,70.29411764705883,2.024438:2.070941:2.022132:1.92887:1.871719:1.995703:1.831802:2.028881:1.987577:2.009796,0.0,0.0,13.333333333333334
52,71.47058823529412,2.018456:2.030709:2.057202:2.059215:2.15733:1.986015:2.143816:1.860658:2.085786:2.070901,0.0,0.0,7.5
53,70.0,1.939583:1.972781:1.98612:1.883238:2.006885:1.920761:1.942143:1.948526:1.902235:1.980058,0.0,0.0,11.666666666666666
54,70.58823529411765,1.865378:1.970881:1.900768:1.9135:1.792157:1.906917:1.923824:1.876186:1.871077:1.932903,0.0,0.0,11.666666666666666
55,72.94117647058823,1.857155:2.016142:1.985024:1.91611:2.051607:1.973649:1.941835:2.142653:1.931553:2.060496,0.0,0.0,8.333333333333334
56,75.0,1.869508:1.844168:1.984828:1.921657:1.993781:1.834262:2.062798:2.024652:1.931736:1.951228,0.0,0.0,15.0
57,71.76470588235294,1.925375:1.927195:1.989342:2.159891:2.006247:2.080282:1.925068:1.964558:1.9481:1.936049,0.0,0.0,6.666666666666667
58,70.88235294117646,1.988804:1.940104:1.998818:1.949354:1.909377:1.938069:2.03267:1.972261:2.003313:2.051589,0.0,0.0,13.333333333333334
59,72.3529411764706,2.011862:1.84338:1.984976:1.932006:1.960163:2.068783:2.000139:1.935582:1.839606:1.939455,0.0,0.0,10.0
60,75.29411764705883,2.217054:1.981965:2.085845:2.05188:2.08929:2.140661:2.00976:1.978396:1.957913:2.293184,0.0,0.0,15.0
61,72.3529411764706,1.923922:1.87107:1.958832:1.948688:1.833585:1.853698:1.767245:1.857068:1.939586:2.088705,0.0,0.0,8.333333333333334
62,71.17647058823529,1.799761:2.035899:1.858078:2.04321:2.027332:1.931213:2.00554:2.027578:1.964251:2.107444,0.0,0.0,10.0
63,75.0,2.068808:2.017742:2.018203:2.111513:2.08844:2.062383:1.984699:1.988999:2.076848:2.198176,0.0,0.0,12.5
64,73.23529411764706,2.071354:1.96783:2.033116:2.06456:2.028972:1.965784:1.99102:1.885981:1.999637:2.017551,0.0,0.0,7.5
65,75.29411764705883,2.033812:2.130974:1.899217:1.829553:1.980494:1.946901:1.842698:1.906659:2.076118:1.92552,0.0,0.0,16.666666666666668
66,76.17647058823529,2.163507:1.931144:1.918178:1.939463:1.892363:1.91713:2.094801:2.05946:2.004419:2.073218,0.0,0.0,7.5
67,72.05882352941177,1.976511:2.019595:2.189155:2.045267:2.066006:1.922576:1.998862:1.948057:2.021659:1.936502,0.0,0.0,11.666666666666666
68,73.52941176470588,1.993565:2.014184:2.002516:1.898306:2.039174:2.020019:2.084006:2.137274:1.962864:2.119175,0.0,0.0,12.5
69,75.0,1.878535:2.056852:1.946901:1.778989:2.06584:1.985642:2.078609:2.018721:2.094747:1.965857,0.0,0.0,7.5
