fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,50.588235294117645,0.309219:0.312871:0.339252:0.294267:0.288625:0.282308:0.309659:0.281798:0.342221:0.292841,0.0,0.0,0.0
2,49.411764705882355,0.199461:0.129183:0.112292:0.102648:0.223139:0.067654:0.242509:0.15256:0.101277:0.046638,0.0,0.0,100.0
3,49.411764705882355,0.128182:0.380831:0.037575:0.077052:0.10156:0.087834:0.052221:0.059023:0.12502:0.057477,0.0,0.0,100.0
4,49.411764705882355,0.12036:0.296849:0.104342:0.148736:0.128423:0.038648:0.002912:0.316939:0.086238:0.085787,0.0,0.0,100.0
5,49.411764705882355,0.078081:0.149547:0.014097:0.057526:0.023277:0.187908:0.123164:0.180445:0.130624:0.00441,0.0,0.0,100.0
6,50.588235294117645,0.429873:0.298859:0.011343:0.054078:0.447692:0.167244:0.13003:0.024058:0.341676:0.011717,0.0,0.0,0.0
7,49.411764705882355,0.050881:0.104791:0.047051:0.134548:0.015646:0.004919:0.236865:0.043239:0.077634:0.094706,0.0,0.0,100.0
8,50.588235294117645,0.025428:0.044471:0.346459:0.149051:0.25556:0.180564:0.089873:0.056183:0.050061:0.038919,0.0,0.0,0.0
9,50.588235294117645,0.056776:0.13979:0.040566:0.054758:0.075922:0.122382:0.041136:0.085167:0.022273:0.038137,0.0,0.0,0.0
10,49.411764705882355,0.084419:0.176352:0.001647:0.117502:0.021214:0.12005:0.326854:0.208898:0.296823:0.293934,0.0,0.0,100.0
11,49.411764705882355,0.082969:0.100792:0.145243:0.29284:0.055157:0.086065:0.253757:0.236498:0.068963:0.121255,0.0,0.0,100.0
12,50.588235294117645,0.186414:0.045963:0.094304:0.06182:0.115612:0.116541:0.031321:0.046723:0.096761:0.262303,0.0,0.0,0.0
13,50.588235294117645,0.107639:0.07011:0.083887:0.069393:0.157298:0.133778:0.034442:0.007922:0.122817:0.07404,0.0,0.0,0.0
14,50.588235294117645,0.040642:0.005263:0.159957:0.005382:0.040683:0.003168:0.098351:0.115342:0.15522:0.001048,0.0,0.0,0.0
15,49.411764705882355,0.04056:0.054283:0.024704:0.137396:0.042705:0.129773:0.010766:0.057091:0.045833:0.144645,0.0,0.0,100.0
16,49.411764705882355,0.155497:0.072415:0.075426:0.18704:0.060727:0.113771:0.118833:0.039978:0.052882:0.091986,0.0,0.0,100.0
17,49.411764705882355,0.230758:0.324117:0.136139:0.268914:0.046623:0.227316:0.045021:0.090911:0.044283:0.085264,0.0,0.0,100.0
18,49.411764705882355,0.052932:0.238415:0.12665:0.067759:0.009485:0.068094:0.23852:0.163139:0.077185:0.223029,0.0,0.0,100.0
19,49.411764705882355,0.290826:0.222064:0.329974:0.05327:0.064308:0.227128:0.183148:0.040658:0.032093:0.12679,0.0,0.0,100.0
20,49.411764705882355,0.126641:0.354021:0.089756:0.08948:0.085661:0.14556:0.173608:0.150417:0.0685:0.061702,0.0,0.0,100.0
