fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,49.411764705882355,0.193231:0.18596:0.180881:0.305761:0.327652:0.308738:0.297628:0.294891:0.287166:0.281803,0.180881,0.180881,100.0
2,50.588235294117645,0.346137:0.45714:0.398097:0.3163:0.30671:0.293629:0.290843:0.432481:0.308006:0.364824,0.0,0.0,0.0
3,57.64705882352941,0.284636:0.561532:0.31491:0.359848:0.289173:0.295872:0.333567:0.30895:0.28838:0.306026,0.0,0.0,85.83333333333333
4,53.23529411764706,0.388949:0.441816:0.374282:0.339315:0.356115:0.305022:0.312809:0.398495:0.326125:0.334829,0.0,0.0,96.66666666666667
5,54.411764705882355,0.32766:0.330701:0.371709:0.315762:0.343713:0.543624:0.373177:0.454457:0.329235:0.328033,0.0,0.0,93.33333333333333
6,55.0,0.530083:0.466258:0.408857:0.390985:0.586577:0.415759:0.453196:0.376815:0.544777:0.435155,0.0,0.0,3.3333333333333335
7,57.94117647058823,0.413399:0.476513:0.443897:0.461535:0.414607:0.520926:0.495583:0.473952:0.470703:0.451729,0.0,0.0,88.33333333333333
8,60.88235294117647,0.504932:0.501155:0.573361:0.572696:0.652663:0.588567:0.555422:0.502126:0.493467:0.509311,0.0,0.0,61.666666666666664
9,62.05882352941177,0.530054:0.590848:0.628345:0.574102:0.6115:0.605168:0.562476:0.595131:0.567039:0.541298,0.0,0.0,64.16666666666667
10,55.88235294117647,0.576349:0.573259:0.580506:0.57719:0.60271:0.565258:0.599071:0.54218:0.637034:0.608144,0.0,0.0,5.0
11,57.94117647058823,0.32169:0.333906:0.332235:0.63039:0.71457:0.65146:0.789486:0.697576:0.665465:0.726644,0.332235,0.332235,89.16666666666667
12,58.8235294117647,0.746391:0.640976:0.595908:0.683052:0.754254:0.673466:0.686194:0.624585:0.663362:0.635718,0.0,0.0,31.666666666666668
13,56.76470588235294,0.843936:0.716929:0.680034:0.7146:0.729819:0.705105:0.718457:0.713188:0.750258:0.748297,0.0,0.0,19.166666666666668
14,56.76470588235294,0.760868:0.785763:0.835756:0.843267:0.847422:0.757213:0.805914:0.827598:0.773154:0.726624,0.0,0.0,14.166666666666666
15,57.64705882352941,0.959031:0.953365:0.885545:0.950314:0.847962:0.90332:0.859699:0.880909:0.877764:0.982295,0.0,0.0,19.166666666666668
16,57.64705882352941,1.100522:1.046289:1.002487:0.996057:1.056433:1.123255:1.019727:1.053172:0.986967:1.086528,0.0,0.0,22.5
17,61.470588235294116,1.131134:1.093731:1.140852:1.180835:1.140274:1.070128:1.137465:1.073133:1.080828:1.168419,0.0,0.0,19.166666666666668
18,61.1764705882353,1.079326:1.109921:1.119003:1.076255:1.091504:1.146531:1.141325:1.079929:1.086089:1.137681,0.0,0.0,15.833333333333334
19,60.588235294117645,1.013075:1.098046:0.979948:1.075047:1.05519:1.030515:1.000643:1.015338:1.049811:1.052878,0.0,0.0,11.666666666666666
20,60.588235294117645,1.186382:1.147872:1.167693:1.079016:1.21497:1.102646:1.137294:1.09948:1.142305:1.225154,0.0,0.0,15.0
21,54.11764705882353,0.516849:0.528829:0.528677:1.072536:1.067253:1.054014:1.083177:1.036652:1.047191:1.143949,0.528677,0.528677,92.5
