fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,52.64705882352941,0.315865:0.410548:0.311819:0.307113:0.296813:0.295464:0.302236:0.28311:0.348142:0.364429,0.0,0.0,0.8333333333333334
2,58.23529411764706,0.289318:0.310616:0.302026:0.289567:0.352082:0.285942:0.39706:0.296136:0.355249:0.312477,0.0,0.0,76.66666666666667
3,58.529411764705884,0.311028:0.306094:0.405818:0.387467:0.318835:0.350753:0.305286:0.294455:0.392763:0.367447,0.0,0.0,60.0
4,58.8235294117647,0.428973:0.371709:0.365512:0.383153:0.339649:0.368275:0.334158:0.337048:0.331493:0.328742,0.0,0.0,20.833333333333332
5,58.529411764705884,0.363769:0.399757:0.458236:0.423098:0.413776:0.372152:0.377987:0.382104:0.360735:0.38113,0.0,0.0,60.833333333333336
6,58.23529411764706,0.442549:0.426647:0.435255:0.478724:0.404887:0.526739:0.426875:0.402349:0.430571:0.371751,0.0,0.0,40.0
7,57.64705882352941,0.582868:0.465285:0.578999:0.519526:0.591864:0.494135:0.495133:0.531338:0.498462:0.474953,0.0,0.0,85.0
8,59.705882352941174,0.492242:0.556341:0.629458:0.523108:0.501474:0.634114:0.604992:0.502722:0.602186:0.574907,0.0,0.0,12.5
9,60.88235294117647,0.565794:0.597739:0.607244:0.657519:0.614233:0.567057:0.571703:0.600303:0.577612:0.576998,0.0,0.0,27.5
10,60.88235294117647,0.667399:0.680617:0.618068:0.608611:0.655001:0.671668:0.588321:0.614117:0.648801:0.590533,0.0,0.0,20.833333333333332
11,57.64705882352941,0.66135:0.762044:0.700517:0.710505:0.674571:0.729657:0.811759:0.744697:0.738088:0.690645,0.0,0.0,10.833333333333334
12,59.705882352941174,0.878617:0.845093:0.773204:0.837933:0.881614:0.90858:0.842801:0.797551:0.827618:0.774818,0.0,0.0,11.666666666666666
13,58.8235294117647,0.927596:0.955898:0.922894:0.85985:0.955018:0.937364:0.86356:1.002302:0.953497:1.041447,0.0,0.0,11.666666666666666
14,60.0,1.047841:1.053482:1.042879:1.096556:1.057826:1.161774:1.068772:1.058216:1.091188:1.103046,0.0,0.0,8.333333333333334
15,59.11764705882353,1.215291:1.197055:1.23118:1.24456:1.184801:1.156205:1.178875:1.251803:1.26254:1.131659,0.0,0.0,7.5
16,61.470588235294116,1.395193:1.38527:1.38269:1.351131:1.415129:1.315387:1.243794:1.288814:1.369731:1.30012,0.0,0.0,13.333333333333334
17,64.11764705882354,1.329551:1.377818:1.450274:1.346196:1.405844:1.3628:1.343449:1.378466:1.37989:1.38349,0.0,0.0,5.833333333333333
18,64.41176470588235,1.442896:1.497178:1.418873:1.439061:1.441617:1.417618:1.491891:1.462666:1.447189:1.377804,0.0,0.0,5.833333333333333
19,63.8235294117647,1.543433:1.560182:1.460015:1.535291:1.490338:1.499774:1.426613:1.470124:1.535256:1.466461,0.0,0.0,5.833333333333333
20,62.94117647058823,1.532588:1.581264:1.588824:1.50343:1.508647:1.52382:1.432041:1.544671:1.569541:1.466281,0.0,0.0,4.166666666666667
21,63.8235294117647,1.663424:1.603724:1.631373:1.609862:1.656291:1.585488:1.641276:1.593154:1.674843:1.712198,0.0,0.0,5.0
22,65.29411764705883,1.627589:1.615106:1.612571:1.675059:1.629061:1.649782:1.58627:1.60238:1.64605:1.608747,0.0,0.0,4.166666666666667
23,65.58823529411765,1.671552:1.629513:1.773545:1.543878:1.647:1.725486:1.586691:1.705789:1.705234:1.667377,0.0,0.0,5.833333333333333
24,67.94117647058823,1.579762:1.621676:1.687209:1.604223:1.628586:1.639608:1.599164:1.604075:1.673846:1.519809,0.0,0.0,10.833333333333334
25,63.529411764705884,1.680115:1.781812:1.660805:1.66618:1.793211:1.7219:1.725695:1.809388:1.683295:1.633447,0.0,0.0,3.3333333333333335
26,59.705882352941174,1.654437:1.757036:1.780313:1.797416:1.660903:1.686883:1.79034:1.76357:1.597133:1.693887,0.0,0.0,2.5
27,66.76470588235294,1.902167:1.791909:1.804293:1.858563:1.926327:1.786759:1.871291:1.915022:1.784657:1.805698,0.0,0.0,9.166666666666666
28,67.6470588235294,1.751477:1.688073:1.715797:1.618542:1.673924:1.689267:1.681975:1.740417:1.720834:1.63295,0.0,0.0,6.666666666666667
29,69.41176470588235,1.73934:1.680703:1.695307:1.675793:1.693852:1.634167:1.700643:1.698683:1.777411:1.695539,0.0,0.0,8.333333333333334
30,69.41176470588235,1.698532:1.728302:1.772688:1.774278:1.61469:1.745713:1.686441:1.74946:1.723874:1.703296,0.0,0.0,12.5
31,67.94117647058823,1.825301:1.815237:1.798131:1.793626:1.765062:1.865533:1.823009:1.851192:1.84198:1.864682,0.0,0.0,9.166666666666666
32,69.41176470588235,1.795012:1.873902:1.740416:1.848737:1.678613:1.87552:1.736368:1.736067:1.790016:1.808269,0.0,0.0,5.0
33,68.23529411764706,1.644062:1.800006:1.743395:1.786692:1.795508:1.816255:1.857763:1.795057:1.827062:1.813938,0.0,0.0,6.666666666666667
34,73.52941176470588,1.92489:1.921687:1.863973:2.047319:1.908713:1.938892:2.045536:1.95513:1.88761:1.998045,0.0,0.0,12.5
35,71.17647058823529,1.792899:1.837564:1.858191:1.781994:1.783592:1.874215:1.851216:1.849685:1.850678:1.825205,0.0,0.0,10.0
36,70.88235294117646,1.872604:1.876393:1.919775:1.913987:1.928805:1.993422:1.908224:1.879219:1.955278:1.922588,0.0,0.0,13.333333333333334
37,66.47058823529412,1.915122:1.911553:1.87764:1.945683:1.913552:1.930115:1.942968:1.935158:2.056944:1.857045,0.0,0.0,5.833333333333333
38,72.94117647058823,1.881554:1.952804:1.861772:1.855692:1.953322:1.828157:1.948329:1.890385:1.956553:1.901152,0.0,0.0,13.333333333333334
39,73.23529411764706,1.886835:2.121211:2.102415:2.043772:1.907449:1.973844:1.910101:1.848549:1.998464:2.019124,0.0,0.0,21.666666666666668
40,72.05882352941177,2.034835:1.888849:2.073443:1.99465:2.013734:2.017354:1.948154:1.939914:1.966143:1.937585,0.0,0.0,19.166666666666668
41,68.82352941176471,2.004352:1.979826:1.977979:1.984129:2.156527:1.972079:1.929598:2.131319:1.980922:2.034711,0.0,0.0,10.833333333333334
42,71.17647058823529,1.776028:1.987853:2.027671:2.096072:1.843269:1.938608:1.971972:1.954921:1.914129:1.839833,0.0,0.0,7.5
43,72.6470588235294,1.998738:1.97934:1.863152:1.9899:1.901881:1.866109:1.842946:1.924709:1.896358:1.976985,0.0,0.0,14.166666666666666
44,67.3529411764706,2.060756:1.992203:2.059678:2.028182:2.141119:1.965061:2.212695:2.20478:2.015504:2.124054,0.0,0.0,8.333333333333334
45,70.29411764705883,2.008926:2.052235:2.171761:2.085777:2.02013:2.099725:2.021998:2.085812:2.29583:2.004072,0.0,0.0,18.333333333333332
46,69.41176470588235,2.109566:1.954504:2.029119:1.875685:1.943072:2.079208:2.105306:2.048372:2.063847:1.99185,0.0,0.0,7.5
47,72.05882352941177,2.139418:2.007459:2.045694:2.041694:2.125487:1.935595:1.973734:2.000141:2.057814:2.153049,0.0,0.0,11.666666666666666
48,68.23529411764706,2.089898:2.256935:2.076989:1.989879:2.092384:2.109963:2.007156:2.029967:2.042492:2.109536,0.0,0.0,10.833333333333334
49,68.23529411764706,1.977044:1.807486:1.927547:1.94021:2.010866:1.853572:2.005205:1.854807:1.866639:1.9348,0.0,0.0,10.0
50,71.17647058823529,1.927625:2.024738:2.024965:1.958627:2.004531:1.950366:2.092124:1.927168:1.855116:1.941258,0.0,0.0,7.5
51,72.05882352941177,2.137785:2.074633:2.056831:2.074345:2.14426:2.039274:2.030063:2.073227:2.136354:2.077893,0.0,0.0,11.666666666666666
52,72.6470588235294,2.264699:1.933898:2.056541:2.03516:2.135552:2.212988:2.016706:2.046374:2.123871:2.123012,0.0,0.0,9.166666666666666
53,71.47058823529412,2.043515:1.936595:1.985051:1.961108:1.971684:1.920288:1.932898:2.075079:1.873091:1.967695,0.0,0.0,5.833333333333333
54,71.76470588235294,2.052147:2.054559:2.188199:1.991992:2.111671:2.116448:2.135383:2.115095:2.286876:2.088792,0.0,0.0,15.0
55,71.47058823529412,1.967872:2.13553:2.007925:2.123758:2.011747:2.017191:2.132301:2.148405:2.038435:2.022837,0.0,0.0,20.0
56,70.58823529411765,2.016241:2.024487:2.091112:2.102983:2.017503:2.024065:1.890095:2.164413:1.985016:2.005967,0.0,0.0,9.166666666666666
57,70.58823529411765,1.957499:2.221493:2.052209:2.009434:2.10364:2.092862:1.972304:2.171017:2.145033:2.138235,0.0,0.0,15.0
58,72.94117647058823,2.062611:2.113201:1.868848:2.177631:2.075718:2.103167:2.129069:2.06232:2.11948:2.03238,0.0,0.0,15.0
59,72.6470588235294,2.150876:2.050911:2.189516:2.070094:2.218138:1.965824:2.028765:2.107225:1.975686:2.084488,0.0,0.0,11.666666666666666
60,74.41176470588235,2.091119:2.094706:1.996141:2.125619:1.943443:2.053904:1.991002:1.979151:2.016113:2.096292,0.0,0.0,15.0
