fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,58.23529411764706,0.309219:0.312871:0.339252:0.294267:0.288625:0.282308:0.309659:0.281798:0.342221:0.292841,0.0,0.0,31.666666666666668
2,54.705882352941174,0.401151:0.334771:0.286856:0.308909:0.369202:0.283315:0.370279:0.313678:0.299959:0.302264,0.0,0.0,90.83333333333333
3,58.8235294117647,0.315264:0.474043:0.28073:0.323408:0.322759:0.316551:0.309285:0.316183:0.325087:0.314996,0.0,0.0,75.0
4,57.05882352941177,0.346787:0.450169:0.339585:0.377498:0.388931:0.321581:0.32298:0.42947:0.356592:0.327989,0.0,0.0,90.0
5,58.23529411764706,0.358231:0.401438:0.367236:0.343309:0.351797:0.469444:0.386898:0.414421:0.379128:0.34452,0.0,0.0,81.66666666666667
6,59.411764705882355,0.571989:0.496116:0.410766:0.40561:0.576087:0.409197:0.476325:0.408356:0.507437:0.465304,0.0,0.0,13.333333333333334
7,58.8235294117647,0.434799:0.458059:0.491689:0.458037:0.444269:0.510022:0.550842:0.471379:0.472026:0.472876,0.0,0.0,58.333333333333336
8,61.470588235294116,0.523666:0.502111:0.605946:0.540489:0.559603:0.565631:0.500573:0.513778:0.510719:0.504283,0.0,0.0,40.0
9,60.588235294117645,0.516574:0.545615:0.607931:0.551797:0.575237:0.582032:0.576604:0.584539:0.558106:0.508729,0.0,0.0,14.166666666666666
10,61.470588235294116,0.636412:0.650382:0.605667:0.618422:0.648675:0.567611:0.701146:0.61689:0.717403:0.616758,0.0,0.0,22.5
11,61.76470588235294,0.678417:0.758886:0.702025:0.728661:0.703245:0.719713:0.683374:0.800477:0.698732:0.716262,0.0,0.0,15.833333333333334
12,62.64705882352941,0.842711:0.873169:0.798165:0.849024:0.827708:0.861696:0.892561:0.838004:0.794641:0.842738,0.0,0.0,16.666666666666668
13,61.1764705882353,1.012917:0.926825:0.872913:0.981768:0.956118:0.909177:0.981291:0.951475:0.964305:0.983275,0.0,0.0,12.5
14,60.88235294117647,1.07214:1.04299:1.166012:1.056348:1.124773:1.024533:1.021913:1.089523:1.044967:1.013846,0.0,0.0,10.833333333333334
15,61.470588235294116,1.242405:1.258245:1.205961:1.274835:1.222857:1.209282:1.174309:1.235865:1.232754:1.26417,0.0,0.0,11.666666666666666
16,62.94117647058823,1.326916:1.368036:1.33742:1.315717:1.348221:1.355207:1.335001:1.375088:1.354651:1.335678,0.0,0.0,10.0
